=== Run Configuration Info ===
File:                 crypto_RandomSD.tkr
record:               True
Supports:             TruthInTheFlip.v0.1.1
Tracker Version:      1.1.0
Total Flips:          13,597,200,000,000
Start Time:           4/17/2026 2:48:37 PM UTC
End Time:             4/29/2026 11:46:42 AM UTC
Segment Mode:         total
Segment Size:         100,000,000,000 flips
Grade:                all
Whole:                True

[Options]

window method:  WindowByTotal(default)          //Creates a bounding function that defines a window based on a maximum number of total flips.
Values:         window=def="100000000000"

print format:  Detailed          //Detailed telemetry including underlying PRNG drift (ZHeads).
Values:         None
==============================

crypto_RandomSD.tkr : 20260429_114642.54 | 13597200000000 flips → heads: 50+3.9e-05% (Z:+0.2487) | a: 50+3.5e-04% (Z:+2.2083) | aHeads: 50+2.2e-04% | aTails: 50+4.8e-04% | aSame: 50+1.0e-04% | aDiff: 50+6.0e-04% | [RATE] H/T: 50+3.9e-04%/ 50+3.1e-04% S/D: 50+1.0e-04%/ 50+6.0e-04% | wallclock: 11.20:42:21 | fps: 13266313 | Z(1.96) in 00:00:00 | Z(3.00) in 01:46:13

segments              : 135
Edge Excursion Score  : +0.564258   // median(best TrueZ per segment)
Edge Settlement Score : -0.758059   // mean(end TrueZ per segment)
Edge Persistence Index: -0.370328   // settlement * fraction positive

avgBestTrueZ          : +0.591953
medianBestTrueZ       : +0.564258
avgEndTrueZ           : -0.758059
medianEndTrueZ        : -0.765069
avgMeanTrueZ          : -0.779104
avgPctAbove50         :  48.8521%

bestTrueZ >= 1.96     :   8.1481%
bestTrueZ >= 3.00     :   2.2222%
endTrueZ  >= 0.00     :  22.9630%
endTrueZ  >= 1.96     :   1.4815%
meanTrueZ >= 0.00     :  13.3333%

idx | span                  | bestTrueZ | aAtBestTrueZ     | endTrueZ  | meanTrueZ | %>50
 40 | 4,000,000,000,000..4… | +1.708199 |  50+2.72814e-04% | +0.985612 | +0.450691 |  77.200%
 41 | 4,100,000,000,000..4… | +0.944572 |  50+1.85392e-04% | -0.084964 | -0.005093 | 100.000%
 42 | 4,200,000,000,000..4… | +0.472027 |  50+7.79500e-05% | -1.290507 | -1.003788 |  15.800%
 43 | 4,300,000,000,000..4… | +1.204423 |  50+2.08421e-04% | +0.080423 | -0.200141 |  77.200%
 44 | 4,400,000,000,000..4… | +1.658906 |  50+2.64031e-04% | -0.446950 | +0.069773 | 100.000%
 45 | 4,500,000,000,000..4… | +0.602787 |  50+1.22065e-04% | -1.604717 | -0.689618 |  33.600%
 46 | 4,600,000,000,000..4… | -0.694607 |  50-9.51520e-05% | -2.616494 | -1.897564 |   0.000%
 47 | 4,700,000,000,000..4… | -0.540281 |  50-7.44430e-05% | -1.028354 | -1.539364 |   7.000%
 48 | 4,800,000,000,000..4… | +1.115095 |  50+1.96377e-04% | -2.277049 | -0.475880 |  96.400%
 49 | 4,900,000,000,000..4… | -1.028860 |  50-1.62567e-04% | -2.179328 | -2.040616 |   0.400%
 50 | 5,000,000,000,000..5… | -0.349368 |  50-4.32040e-05% | -0.783771 | -1.491155 |  48.400%
 51 | 5,100,000,000,000..5… | +0.790614 |  50+1.26426e-04% | +0.600656 | -0.225102 |  89.000%
 52 | 5,200,000,000,000..5… | +0.843538 |  50+1.65881e-04% | -1.664889 | -1.057301 |  13.000%
 53 | 5,300,000,000,000..5… | +0.182849 |  50+1.55838e-04% | -0.071202 | -1.136184 |  26.000%
 54 | 5,400,000,000,000..5… | +1.391219 |  50+2.50872e-04% | -0.394444 | -0.065308 | 100.000%
 55 | 5,500,000,000,000..5… | -0.065940 |  50+1.54086e-04% | -0.396708 | -1.274923 |  38.600%
 56 | 5,600,000,000,000..5… | +1.806173 |  50+2.95924e-04% | +0.376975 | +0.640974 | 100.000%
 57 | 5,700,000,000,000..5… | +0.978080 |  50+1.98542e-04% | -0.594489 | -0.243799 |  99.400%
 58 | 5,800,000,000,000..5… | +1.104432 |  50+1.96794e-04% | +0.381396 | +0.082161 | 100.000%
 59 | 5,900,000,000,000..5… | +0.377911 |  50+5.98450e-05% | -0.113469 | -0.408464 |  23.600%
 60 | 6,000,000,000,000..6… | +1.005471 |  50+1.61796e-04% | -1.738032 | -0.687216 |  83.800%
 61 | 6,100,000,000,000..6… | +0.491121 |  50+8.67940e-05% | +0.149949 | -1.080348 |   7.800%
 62 | 6,200,000,000,000..6… | +0.657716 |  50+1.10461e-04% | -1.391807 | -0.466488 |  69.000%
 63 | 6,300,000,000,000..6… | -1.143612 |  50-4.23980e-05% | -1.834418 | -2.269019 |  10.400%
 64 | 6,400,000,000,000..6… | +0.418572 |  50+1.02767e-04% | -0.475860 | -1.016787 |  72.600%
 65 | 6,500,000,000,000..6… | +0.929406 |  50+1.88315e-04% | +0.230511 | -0.165935 |  96.400%
 66 | 6,600,000,000,000..6… | +0.520340 |  50+1.28430e-04% | -0.914385 | -1.259913 |  23.600%
 67 | 6,700,000,000,000..6… | +0.479983 |  50+7.62700e-05% | -1.477169 | -0.650647 |  34.800%
 68 | 6,800,000,000,000..6… | -0.419931 |  50+5.05860e-05% | -0.631583 | -1.397293 |   7.200%
 69 | 6,900,000,000,000..6… | +1.156805 |  50+1.93656e-04% | -0.237658 | -0.068160 |  99.600%
 70 | 7,000,000,000,000..7… | -0.241718 |  50+3.76400e-05% | -0.995814 | -1.230131 |   1.400%
 71 | 7,100,000,000,000..7… | +0.237898 |  50+9.40700e-05% | -1.415347 | -0.877319 |  32.600%
 72 | 7,200,000,000,000..7… | -0.083231 |  50-8.34100e-06% | -0.556814 | -0.998942 |   6.000%
 73 | 7,300,000,000,000..7… | +0.406036 |  50+7.67290e-05% | -3.371956 | -1.292220 |  13.400%
