=== Run Configuration Info ===
File:                 crypto_RandomSD.tkr
record:               True
Supports:             TruthInTheFlip.v0.1.1
Tracker Version:      1.1.0
Total Flips:          13,597,200,000,000
Start Time:           4/17/2026 2:48:37 PM UTC
End Time:             4/29/2026 11:46:42 AM UTC
Segment Mode:         total
Segment Size:         100,000,000,000 flips
Grade:                all
Whole:                True

[Options]

window method:  WindowByTotal(default)          //Creates a bounding function that defines a window based on a maximum number of total flips.
Values:         window=10000000000

print format:  Detailed          //Detailed telemetry including underlying PRNG drift (ZHeads).
Values:         None
==============================

crypto_RandomSD.tkr : 20260429_114642.54 | 13597200000000 flips → heads: 50+6.2e-05% (Z:+0.1244) | a: 50+2.4e-04% (Z:+0.4728) | aHeads: 50-3.3e-04% | aTails: 50+8.0e-04% | aSame: 50-3.2e-04% | aDiff: 50+7.9e-04% | [RATE] H/T: 50+3.0e-04%/ 50+1.7e-04% S/D: 50-3.2e-04%/ 50+7.9e-04% | wallclock: 11.20:42:21 | fps: 13266313 | Z(1.96) in 03:23:19 | Z(3.00) in 08:13:12

segments              : 135
Edge Excursion Score  : +1.735120   // median(best TrueZ per segment)
Edge Settlement Score : -0.684845   // mean(end TrueZ per segment)
Edge Persistence Index: -0.346048   // settlement * fraction positive

avgBestTrueZ          : +1.774402
medianBestTrueZ       : +1.735120
avgEndTrueZ           : -0.684845
medianEndTrueZ        : -0.620220
avgMeanTrueZ          : -0.788632
avgPctAbove50         :  50.5294%

bestTrueZ >= 1.96     :  34.8148%
bestTrueZ >= 3.00     :   1.4815%
endTrueZ  >= 0.00     :  29.6296%
endTrueZ  >= 1.96     :   0.7407%
meanTrueZ >= 0.00     :   2.2222%

idx | span                  | bestTrueZ | aAtBestTrueZ     | endTrueZ  | meanTrueZ | %>50
 40 | 4,000,000,000,000..4… | +2.329440 |  50+1.17474e-03% | -0.501420 | -0.280340 |  63.400%
 41 | 4,100,000,000,000..4… | +1.618380 |  50+8.64600e-04% | -1.562620 | -0.511666 |  58.000%
 42 | 4,200,000,000,000..4… | +1.681160 |  50+8.54430e-04% | -1.351440 | -0.780408 |  51.400%
 43 | 4,300,000,000,000..4… | +2.983220 |  50+1.52233e-03% | +0.786460 | -0.733919 |  56.200%
 44 | 4,400,000,000,000..4… | +0.902500 |  50+1.04608e-03% | -0.115880 | -0.598835 |  60.600%
 45 | 4,500,000,000,000..4… | +1.581440 |  50+9.95870e-04% | -2.871580 | -1.052268 |  49.600%
 46 | 4,600,000,000,000..4… | +0.235480 |  50+1.18260e-04% | -0.581080 | -1.770321 |  14.200%
 47 | 4,700,000,000,000..4… | +2.195260 |  50+1.10375e-03% | +1.470120 | -0.823406 |  51.400%
 48 | 4,800,000,000,000..4… | +2.371860 |  50+1.29876e-03% | -2.693400 | -0.824297 |  55.800%
 49 | 4,900,000,000,000..4… | +2.167240 |  50+1.13588e-03% | -1.972060 | -0.856476 |  44.400%
 50 | 5,000,000,000,000..5… | +1.193520 |  50+6.08530e-04% | -1.545300 | -0.841445 |  44.600%
 51 | 5,100,000,000,000..5… | +2.106520 |  50+1.25584e-03% | -0.821860 | -0.292337 |  55.600%
 52 | 5,200,000,000,000..5… | +0.592800 |  50+6.21390e-04% | -0.620220 | -1.126425 |  31.200%
 53 | 5,300,000,000,000..5… | +2.141220 |  50+1.07668e-03% | -1.117520 | -0.406803 |  58.400%
 54 | 5,400,000,000,000..5… | +1.815380 |  50+9.08480e-04% | -1.529480 | -0.512595 |  59.800%
 55 | 5,500,000,000,000..5… | +1.898640 |  50+1.12870e-03% | -0.484200 | -0.562359 |  49.600%
 56 | 5,600,000,000,000..5… | +2.370360 |  50+1.29387e-03% | +0.776920 | -0.528195 |  58.000%
 57 | 5,700,000,000,000..5… | +1.781680 |  50+8.91820e-04% | -0.088320 | -0.306125 |  68.400%
 58 | 5,800,000,000,000..5… | +1.776380 |  50+9.34830e-04% | -2.997360 | -0.440314 |  63.400%
 59 | 5,900,000,000,000..5… | +1.473280 |  50+7.87690e-04% | -0.793200 | -0.780488 |  59.200%
 60 | 6,000,000,000,000..6… | +1.538720 |  50+1.09021e-03% | -1.581140 | -1.167394 |  34.400%
 61 | 6,100,000,000,000..6… | +2.663660 |  50+1.46482e-03% | +0.300580 | -0.683007 |  46.600%
 62 | 6,200,000,000,000..6… | +1.522620 |  50+7.71140e-04% | +0.722200 | -0.826374 |  45.000%
 63 | 6,300,000,000,000..6… | +1.420840 |  50+8.26980e-04% | -0.149800 | -0.892096 |  47.000%
 64 | 6,400,000,000,000..6… | +2.342000 |  50+1.31733e-03% | -1.482900 | -0.824659 |  45.000%
 65 | 6,500,000,000,000..6… | +2.609740 |  50+1.42359e-03% | -1.030280 | -0.540266 |  58.000%
 66 | 6,600,000,000,000..6… | +1.693620 |  50+1.17429e-03% | -0.953960 | -0.889013 |  43.200%
 67 | 6,700,000,000,000..6… | +0.884780 |  50+5.00480e-04% | -1.674860 | -0.892832 |  34.800%
 68 | 6,800,000,000,000..6… | +1.656600 |  50+8.82370e-04% | +0.515860 | -0.610102 |  52.200%
 69 | 6,900,000,000,000..6… | +2.030260 |  50+1.11899e-03% | -0.232520 | -0.706207 |  52.400%
 70 | 7,000,000,000,000..7… | +1.716900 |  50+9.88680e-04% | +0.622600 | -0.803378 |  48.600%
 71 | 7,100,000,000,000..7… | +1.510400 |  50+8.55730e-04% | -1.057760 | -0.933297 |  35.000%
 72 | 7,200,000,000,000..7… | +2.298660 |  50+1.46357e-03% | +0.360920 | -0.862733 |  48.800%
 73 | 7,300,000,000,000..7… | +1.256940 |  50+6.32290e-04% | -0.218720 | -1.223643 |  31.000%
 74 | 7,400,000,000,000..7… | +1.953560 |  50+1.27343e-03% | +0.088860 | -0.510912 |  60.800%
 75 | 7,500,000,000,000..7… | +1.453960 |  50+8.49030e-04% | +0.400020 | -0.504700 |  59.600%
 76 | 7,600,000,000,000..7… | +0.951980 |  50+7.50410e-04% | +0.304380 | -0.692445 |  39.600%
 77 | 7,700,000,000,000..7… | +1.700780 |  50+9.76130e-04% | -1.960860 | -0.523001 |  55.200%
 78 | 7,800,000,000,000..7… | +1.868500 |  50+1.07673e-03% | -1.792400 | -0.847278 |  51.600%
 79 | 7,900,000,000,000..7… | +1.411520 |  50+9.54350e-04% | +1.055020 | -0.944314 |  48.000%
 80 | 8,000,000,000,000..8… | +3.011120 |  50+1.58081e-03% | +2.273940 | -0.505803 |  54.600%
 81 | 8,100,000,000,000..8… | +2.533760 |  50+1.26712e-03% | -0.558200 | -0.034494 |  78.600%
 82 | 8,200,000,000,000..8… | +1.440300 |  50+8.22540e-04% | +0.510560 | -0.944288 |  30.400%
 83 | 8,300,000,000,000..8… | +2.389380 |  50+1.34388e-03% | +0.477320 | -0.418485 |  74.200%
 84 | 8,400,000,000,000..8… | +1.366400 |  50+7.56910e-04% | +0.916560 | -0.726109 |  58.000%
 85 | 8,500,000,000,000..8… | +2.152100 |  50+1.27570e-03% | -2.274060 | -0.671287 |  56.800%
 86 | 8,600,000,000,000..8… | +1.688060 |  50+8.47850e-04% | -3.186700 | -0.851583 |  48.200%
 87 | 8,700,000,000,000..8… | +1.550300 |  50+9.65950e-04% | -1.190520 | -0.747608 |  48.600%
 88 | 8,800,000,000,000..8… | +1.393580 |  50+7.60020e-04% | -0.105400 | -0.911071 |  51.200%
 89 | 8,900,000,000,000..8… | +2.532000 |  50+1.29353e-03% | -0.166780 | -1.187956 |  40.600%
 90 | 9,000,000,000,000..9… | +1.572000 |  50+8.15760e-04% | -0.316560 | -0.791330 |  56.000%
 91 | 9,100,000,000,000..9… | +1.669180 |  50+9.09440e-04% | -1.896160 | -1.126058 |  32.600%
 92 | 9,200,000,000,000..9… | +2.038180 |  50+1.03171e-03% | +0.098040 | -0.900184 |  52.600%
 93 | 9,300,000,000,000..9… | +1.347520 |  50+6.93290e-04% | -2.284420 | -0.639755 |  52.800%
 94 | 9,400,000,000,000..9… | +2.288280 |  50+1.16931e-03% | -0.047780 | -0.250226 |  73.600%
 95 | 9,500,000,000,000..9… | +2.005100 |  50+1.23721e-03% | +1.449980 | -1.009505 |  38.000%
 96 | 9,600,000,000,000..9… | +2.609640 |  50+1.48662e-03% | -1.025600 | -0.299529 |  59.000%
 97 | 9,700,000,000,000..9… | +2.175140 |  50+1.20926e-03% | -0.572600 | -0.535669 |  64.600%
 98 | 9,800,000,000,000..9… | +1.935460 |  50+1.12351e-03% | -2.620100 | -1.247360 |  39.400%
 99 | 9,900,000,000,000..9… | +2.159660 |  50+1.08618e-03% | +0.174600 | +0.020142 |  75.200%
100 | 10,000,000,000,000..… | +1.242100 |  50+6.22140e-04% | +1.218260 | -1.432084 |  39.800%
101 | 10,100,000,000,000..… | +1.983840 |  50+1.16473e-03% | -1.904180 | -0.935485 |  39.600%
102 | 10,200,000,000,000..… | +1.701820 |  50+8.93690e-04% | -3.691100 | -1.145810 |  32.800%
103 | 10,300,000,000,000..… | +1.310380 |  50+6.93770e-04% | -0.563980 | -1.098651 |  36.000%
104 | 10,400,000,000,000..… | +1.915760 |  50+1.00080e-03% | +0.334480 | -0.310868 |  68.800%
105 | 10,500,000,000,000..… | +2.891820 |  50+1.44772e-03% | -0.597480 | -0.150594 |  73.400%
106 | 10,600,000,000,000..… | +2.513280 |  50+1.52435e-03% | -2.553500 | -0.350441 |  60.800%
107 | 10,700,000,000,000..… | +0.908460 |  50+6.69190e-04% | +0.620600 | -1.220809 |  25.400%
108 | 10,800,000,000,000..… | +1.619720 |  50+9.44280e-04% | -1.666340 | -0.517130 |  58.400%
109 | 10,900,000,000,000..… | +1.748140 |  50+8.88620e-04% | -2.411760 | -1.039394 |  36.600%
110 | 11,000,000,000,000..… | +1.454580 |  50+8.99860e-04% | -1.116260 | -1.243912 |  35.200%
111 | 11,100,000,000,000..… | +1.855500 |  50+9.69060e-04% | -2.152940 | -1.135160 |  33.400%
112 | 11,200,000,000,000..… | +0.761500 |  50+4.51190e-04% | -1.564980 | -0.928486 |  43.000%
113 | 11,300,000,000,000..… | +1.103640 |  50+6.10730e-04% | -0.748360 | -0.917883 |  46.200%
114 | 11,400,000,000,000..… | +1.334240 |  50+7.47390e-04% | -1.847960 | -0.534603 |  64.600%
115 | 11,500,000,000,000..… | +1.937560 |  50+9.76580e-04% | -1.184980 | -1.051165 |  32.600%
116 | 11,600,000,000,000..… | +2.555080 |  50+1.33885e-03% | -0.282560 | -0.632890 |  52.200%
117 | 11,700,000,000,000..… | +1.580880 |  50+9.65290e-04% | +1.498680 | -0.793277 |  51.200%
118 | 11,800,000,000,000..… | +2.099660 |  50+1.36332e-03% | -1.473820 | -0.873008 |  44.600%
119 | 11,900,000,000,000..… | +1.920800 |  50+9.87370e-04% | -1.482360 | -0.762146 |  55.400%
120 | 12,000,000,000,000..… | +1.056240 |  50+8.04890e-04% | -1.825300 | -1.093156 |  37.000%
121 | 12,100,000,000,000..… | +1.337140 |  50+7.76540e-04% | -1.311780 | -0.665693 |  48.000%
122 | 12,200,000,000,000..… | +1.738860 |  50+8.80340e-04% | -0.938720 | -1.378947 |  32.400%
123 | 12,300,000,000,000..… | +1.735120 |  50+1.03676e-03% | +0.201800 | -0.458892 |  78.000%
